"","Jour","Entreprises ","PME/PMI","Professionnels","Résidentiels","Total"
"1",2019-12-19,"13844014713.0",38726715,144495,32019640,45146108399
"2",2019-12-21,"9780195750.0",32627454,104920,36310692,41803332750
"3",2020-01-02,"11821769552.0",41290866,149446,44644564,50023259222
"4",2020-01-08,"14485211820.0",45224301,157601,40646702,49130286073
"5",2020-01-09,"14311431782.0",45149021,157504,38264302,47943884981
"6",2020-01-10,"14022929092.0",44706324,181522,40175752,48809506915
"7",2020-01-15,"14588015534.0",45759859,171805,42061706,49136559899
"8",2020-01-27,"14299797354.0",46978096,216989,46472296,51275447955
"9",2020-02-17,"13672837933.0",44658231,178093,39948078,45260419750
"10",2020-03-03,"14601770002.0",50203226,225832,51622529,51127292418
"11",2020-03-28,"8250424898.0",31968781,103692,45168916,35804388710
"12",2020-04-22,"11035729841.0",46361277,80672,28270719,31408618605
"13",2020-04-25,"8134028304.0",40173291,67915,28019174,27201331647
"14",2020-05-06,"11476278618.0",37222433,66426,27924948,30814464540
"15",2020-05-12,"11858238840.0",38980623,290925,29980963,33852090107
"16",2020-05-19,"11844017630.0",43707132,238419,25647756,30992302966
"17",2020-05-29,"11776539056.0",55408498,222416,24844696,30307734419
"18",2020-06-04,"12472202422.0",53205346,275151,24614977,31244830603
"19",2020-06-14,"7782883385.0",39842091,189423,28571696,25964177052
"20",2020-06-22,"12277178469.0",58596306,276032,26123609,31504882179
"21",2020-07-09,"14317730240.0",90518685,282425,26673931,34392814718
"22",2020-07-19,"8847684696.0",77825340,211557,28680907,27627096851
"23",2020-07-26,"8703825240.0",76835385,219806,29284588,27487397427
"24",2020-08-12,"12035455747.0",82592035,279573,30192194,32381711050
"25",2020-08-16,"8080344068.0",58166974,214328,30147942,26255220634
"26",2020-08-19,"12198465162.0",71347588,272108,29998334,31425576147
"27",2020-08-27,"13411435287.0",71233588,291605,30017374,32956729029
"28",2020-08-31,"12373471078.0",57082176,289050,31244512,31538255870
"29",2020-09-06,"8307775673.0",50577844,261188,34216084,26796671703
"30",2020-09-07,"12664330282.0",60793508,411541,31016017,32000427878
"31",2020-09-10,"13875078337.0",63141089,436928,30296285,33370686540
"32",2020-09-16,"14258671938.0",62709701,388397,33245179,34212454813
"33",2020-09-20,"8597302663.0",44108261,253762,34966718,26968274367
"34",2020-09-26,"9382510982.0",44593684,349328,41801726,30488734390
"35",2020-10-11,"8489175043.0",38676641,251044,54872519,32953367805
"36",2020-10-19,"13107493229.0",51628468,521705,60550586,41511046663
"37",2020-10-24,"9573222649.0",41702955,293489,53790669,33180198468
"38",2020-10-25,"8487760572.0",38536576,224504,59139398,32854834120
"39",2020-10-31,"9453330737.0",38727474,261573,63351858,34142403623
"40",2020-11-14,"9426528698.0",38031612,341788,69161338,34199463331
"41",2020-12-05,"10478917389.0",47681757,616073,125998223,48891061409
"42",2020-12-10,"14674026592.0",59606247,850305,122902192,54460980554
"43",2020-12-14,"13431681041.0",53941538,745040,104883347,48505893336
"44",2020-12-21,"12270012825.0",51836973,666306,99004437,45679236944
"45",2020-12-22,"12318748433.0",51413065,600012,86873879,42794264870
"46",2020-12-26,"8879625068.0",46175893,644666,129223069,47784210133
"47",2020-12-27,"8441837608.0",44504207,611941,132928577,47283119109
"48",2020-12-29,"10919359516.0",51107575,750320,127386731,50573049740
"49",2021-01-11,"14389476326.0",2926575010,1089268,160809548,61549032936
"50",2021-01-13,"14486136165.0",2627112879,972988,133532038,54710681668
"51",2021-01-14,"14410205560.0",2605327142,1054959,122216224,52854881200
"52",2021-01-21,"14179381716.0",2483266319,966223,116371603,50579235667
"53",2021-01-24,"9809231868.0",2021943759,812637,145162322,49513642887
"54",2021-02-22,"12898736312.0",2138800955,762337,98284542,42780162176
"55",2021-03-18,"14016073312.0",2468998280,985699,123560413,48610283455
"56",2021-03-29,"12720213099.0",2081904243,1756799,85054046,38642107926
"57",2021-04-02,"12448148158.0",1905701453,1673508,69708067,35094887554
"58",2021-04-12,"12871387148.0",2188589030,1636729,114569929,44487128472
"59",2021-04-13,"13480103826.0",2212181630,1595981,113598616,44916593967
"60",2021-04-28,"12934561526.0",1914830268,1241335,78509362,36251283600
"61",2021-05-16,"8318509297.0",1352649100,1003373,83817680,30544852518
"62",2021-06-18,"13700562539.0",2121464225,1914608,59880346,33642548739
"63",2021-06-21,"13032387803.0",2035512725,1853888,60053618,32416276714
"64",2021-06-23,"13502670075.0",2009878522,1822326,63608737,33145298849
"65",2021-07-03,"10093183100.0",1650530555,1921699,64725636,28887384782
"66",2021-07-08,"13617826816.0",2017423365,1953835,60936640,33211923671
"67",2021-07-12,"12921279050.0",1989749792,1894056,61912026,32448394870
"68",2021-07-21,"14232379804.0",2204639780,2093324,64274838,34710279188
"69",2021-07-31,"9366525910.0",1664967778,2121685,65426106,28076831545
"70",2021-08-03,"11425503559.0",1892390449,2092877,61539401,30526898878
"71",2021-08-09,"10409551503.0",1775312938,2226734,62519832,28983480087
"72",2021-08-10,"11045864588.0",1861831895,2290691,61963630,29944389943
"73",2021-08-15,"8696886238.0",1602022891,2429066,67868270,27175824690
"74",2021-08-29,"8648193328.0",1469021080,2708565,71311387,26860485297
"75",2021-08-30,"12644640552.0",2000360853,2766911,67474485,32301830524
"76",2021-09-13,"13165001584.0",2081175639,3320417,67142805,32669418687
"77",2021-09-24,"13059492403.0",2014579663,3672722,68972290,32861925344
"78",2021-09-26,"8771423748.0",1401891553,3556958,77272001,27029016413
"79",2021-10-09,"9789478580.0",1664635575,4141159,99050640,31699217835
"80",2021-10-12,"13746866956.0",2209143944,4314706,100817352,37950085527
"81",2021-10-14,"13808481765.0",2269235883,4436587,109166358,39104466136
"82",2021-10-22,"13285826439.0",2228658171,4671331,113971922,38763934568
"83",2021-11-05,"13722299110.0",2370647437,5088849,161065607,44962677505
"84",2021-12-01,"14796191655.0",2746472811,6025966,220858871,53012934741
"85",2021-12-20,"13747947502.0",2822354990,6349524,253237650,55467087176
"86",2021-12-23,"12951340836.0",2711080641,6492181,255748537,54694551577
"87",2022-01-08,"10757827665.0",2344573942,6270351,250173828,48951108387
"88",2022-01-17,"14420737182.0",2999522107,6307624,273039472,57040140294
"89",2022-02-04,"13995399505.0",2700455546,6089892,219977539,50265576259
"90",2022-03-03,"14152596950.0",2571493894,5101976,192900782,46238852363
"91",2022-03-14,"13493295254.0",2557580859,4618340,194063192,45292008686
"92",2022-03-31,"13858350674.0",2503311735,4329090,170795645,43016510992
"93",2022-04-06,"13910916025.0",2478407404,4034407,193283394,44904220462
"94",2022-04-08,"13415815857.0",2460187616,4138669,178183490,43438535408
"95",2022-04-10,"9244297682.0",1877911121,3821502,194781706,37979580685
"96",2022-04-18,"9056522645.0",1619337790,3083892,117749693,29448208721
"97",2022-04-19,"12509376448.0",2127980946,3280048,117091884,35031454365
"98",2022-04-21,"13101501306.0",2138825932,3285625,121223490,36116172132
"99",2022-04-26,"13193587465.0",2183838738,3175341,120848125,36148151588
"100",2022-05-17,"13855724205.0",2240614834,2687112,93943585,33388670929
"101",2022-05-22,"9071848066.0",1570368820,2531193,107227240,27188622144
"102",2022-06-04,"10145869934.0",1791076524,2613693,105136873,28993495025
"103",2022-06-09,"13484666594.0",2130747832,2585817,97953500,32932080226
"104",2022-07-01,"12978758604.0",2073752583,2612465,99715536,32215394691
"105",2022-07-14,"11328733786.0",2005907226,2642229,107202275,31031177475
"106",2022-07-15,"12093014888.0",2206358705,2756869,103492834,32547772983
"107",2022-07-18,"14102621385.0",2486075283,2597797,108899456,35650757511
"108",2022-07-23,"10569888373.0",1962503282,2700903,108028726,30199989508
"109",2022-07-26,"13638798598.0",2306399837,2732158,100074781,33785530443
"110",2022-08-01,"12014085743.0",2225959356,2693368,103605777,32007496442
"111",2022-08-04,"12653712157.0",2327454202,2893986,104918634,33428126668
"112",2022-08-09,"11738218628.0",2177071006,2871122,100763317,31448268710
"113",2022-08-18,"11546750256.0",1971784668,2974420,95683062,29846669082
"114",2022-08-23,"13103495381.0",2153936088,3120881,100767533,32364994064
"115",2022-09-07,"13661601758.0",2178843993,3592310,108918733,33004735026
"116",2022-09-15,"13642440497.0",2183218561,3913601,101942404,32730668230
"117",2022-09-20,"13198595622.0",2110277560,3952565,107715535,32629070514
"118",2022-09-23,"12731977536.0",2059334868,4191133,111378143,32358638630
"119",2022-10-05,"13194130233.0",2089932503,4329129,124804610,33380685958
"120",2022-10-06,"13159766044.0",2112086456,4444311,115925066,33163453803
"121",2022-10-07,"12659456960.0",2068077908,4510084,120127274,32903671723
"122",2022-10-12,"13124492828.0",2095043046,4496954,132867461,33861766597
"123",2022-10-15,"9465749453.0",1649114951,4522135,132842905,28921335340
"124",2022-10-18,"13117611990.0",2091936483,4639314,113580085,32665490695
"125",2022-10-27,"12929311061.0",2013607648,4748707,114954515,32366889970
"126",2022-11-04,"12466750368.0",2088861029,5224346,158444536,35821108302
"127",2022-11-07,"12519422369.0",2186492176,5116401,168995688,36652918341
"128",2022-11-15,"13237579866.0",2310937391,5542240,181477899,38819164115
"129",2022-11-16,"13203188350.0",2267818866,5363961,193869061,38925168296
"130",2022-11-18,"12776519077.0",2291675044,5731124,197674292,39417904401
"131",2022-11-29,"13807820132.0",2589423914,6067025,255093512,45617292599
"132",2022-12-02,"13563688739.0",2699505115,6669748,307120884,49373193924
"133",2022-12-05,"13633755187.0",2818440507,6460391,326038680,50986395014
"134",2022-12-10,"10616241889.0",2435315063,6691895,383560267,50342865158
"135",2022-12-24,"8169940442.0",1765472234,5835910,237568048,35394079245
