jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2024-10-01;31163241333.0;7786938869.0;33526712093.0;2047010486.0;3153826492.0;222631130.0
2024-10-02;32114930503.0;5645022992.0;33841741754.0;2082902010.0;1595283649.0;240026083.0
2024-10-03;31479129079.0;8312107209.0;34306646482.0;2128930509.0;3129029736.0;226629562.0
2024-10-04;32104754173.0;6957819671.0;34414574320.0;2201558494.0;2204521298.0;241919733.0
2024-10-05;27808557392.0;8094182448.0;30709879425.0;2115910845.0;2869566580.0;207382991.0
2024-10-06;27152316236.0;8360356734.0;29458016890.0;2119483721.0;3753238312.0;181934047.0
2024-10-07;31646223482.0;6768228121.0;33457919046.0;2106056521.0;2632074812.0;218401224.0
2024-10-08;29976264788.0;11615560223.0;33701465351.0;2054605427.0;5684677232.0;151077000.0
2024-10-09;31620890218.0;10702529085.0;34338508238.0;2126103004.0;5695616073.0;163191989.0
2024-10-10;31604916975.0;8166328042.0;34120058761.0;2108477615.0;3324622281.0;218086361.0
2024-10-11;32626767014.0;5278719004.0;34206892754.0;2178151733.0;1270704250.0;249737281.0
2024-10-12;29521366104.0;7255171904.0;31398620066.0;2175304797.0;2990427434.0;212185712.0
2024-10-13;27599319250.0;5332779255.0;29039910458.0;2075207236.0;1595721625.0;221259186.0
2024-10-14;32288731330.0;5290752655.0;33728957014.0;2131013739.0;1479543916.0;239969315.0
2024-10-15;31588759003.0;7285313037.0;33780129065.0;2053818900.0;2815005173.0;225118903.0
2024-10-16;30141622777.0;11101623875.0;33320307323.0;1996329034.0;5741994705.0;184615592.0
2024-10-17;31999747607.0;5503985904.0;33168648256.0;1991881230.0;2123739826.0;219464198.0
2024-10-18;31812404000.0;5063152340.0;33115891555.0;2057113535.0;1481233882.0;221317367.0
2024-10-19;27436917364.0;6953472016.0;29708171669.0;2002832454.0;2496662336.0;182722921.0
2024-10-20;25517351514.0;9491756723.0;28312207385.0;1996629970.0;4536095757.0;164175125.0
2024-10-21;30396859385.0;7413242782.0;32631751962.0;2032671430.0;2951890607.0;193788168.0
2024-10-22;32646747691.0;4434871828.0;33739069758.0;2076412118.0;1014939882.0;251197762.0
2024-10-23;32478112520.0;6106262194.0;34456824666.0;2156090698.0;1730138336.0;241321014.0
2024-10-24;31722066125.0;7753538798.0;34537848979.0;2158559594.0;2544394364.0;234801986.0
2024-10-25;31513352538.0;6249082905.0;33396540639.0;2094857097.0;2033701204.0;237336503.0
2024-10-26;29653826277.0;3697442423.0;30104087018.0;2045183576.0;952604656.0;249393451.0
2024-10-27;27883637480.0;3633080045.0;28495018949.0;2029518135.0;757245956.0;234934485.0
2024-10-28;32764901732.0;4130523815.0;33708551940.0;2163527681.0;755454951.0;267890974.0
2024-10-29;33947284316.0;3910442748.0;34715365001.0;2193408023.0;670659027.0;278295012.0
2024-10-30;33942757100.0;4635438979.0;34969584967.0;2219567990.0;1123284385.0;265758737.0
2024-10-31;34192906250.0;4295300337.0;35072895148.0;2258806127.0;879877087.0;276628225.0
