jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2022-12-01;47021996667.0;7085542700.0;48497385319.0;3850963957.0;1340501375.0;418688715.0
2022-12-02;48463775500.0;6462382191.0;49373193924.0;4014232547.0;1109126667.0;429604553.0
2022-12-03;44903855813.0;7875758360.0;46159223316.0;4098827555.0;2122767354.0;398795947.0
2022-12-04;44952687667.0;5218151680.0;44851452679.0;4051873814.0;846885646.0;420627207.0
2022-12-05;51214068792.0;4875903919.0;50986395014.0;4222069829.0;409637146.0;471870721.0
2022-12-06;52024657854.0;5273502959.0;52096037802.0;4287824268.0;446024917.0;468273826.0
2022-12-07;52059791708.0;5602790663.0;52278706274.0;4313845129.0;598368063.0;471662905.0
2022-12-08;53751395438.0;4920381963.0;53294167978.0;4444856331.0;453320521.0;479432570.0
2022-12-09;52752635938.0;5604420571.0;52777799009.0;4447056858.0;671527313.0;460673329.0
2022-12-10;50592314875.0;5465274892.0;50342865158.0;4631878432.0;597952354.0;484893821.0
2022-12-11;52063298438.0;5676273632.0;51750628070.0;4911349732.0;567793271.0;509800995.0
2022-12-12;58975296625.0;6448855804.0;58756328200.0;5216874948.0;923030271.0;527919010.0
2022-12-13;58313629563.0;7674226828.0;58677319032.0;5148744427.0;1637674375.0;524118556.0
2022-12-14;55461047646.0;5411550870.0;55120789622.0;4699170176.0;559776083.0;492862634.0
2022-12-15;54033705500.0;8155194454.0;55164102534.0;4693596056.0;1864907354.0;466294009.0
2022-12-16;54354747250.0;7381089609.0;55155220907.0;4767558024.0;1329427688.0;483630240.0
2022-12-17;54460885958.0;6161010226.0;54166096190.0;5150414242.0;793911833.0;511473918.0
2022-12-18;50354337396.0;10346250247.0;52091369350.0;4975602062.0;3149454688.0;484161542.0
2022-12-19;45447961688.0;14404896789.0;49161907633.0;4069539058.0;6252887792.0;368523994.0
2022-12-20;42761812583.0;11939741182.0;45406089916.0;3577163593.0;5364477854.0;353822401.0
2022-12-21;40601401750.0;10394065078.0;43409023036.0;3371645383.0;3871297896.0;343500513.0
2022-12-22;38495686354.0;13636653695.0;41932096200.0;3248336091.0;6656676750.0;295231008.0
2022-12-23;35244353229.0;13237657741.0;38709775040.0;3026775799.0;6484471958.0;260988173.0
2022-12-24;33137790938.0;8140615244.0;35394079245.0;3045637982.0;2552107750.0;286581204.0
2022-12-25;31055922146.0;9027227040.0;33348436996.0;2905173812.0;3582760542.0;246777836.0
2022-12-26;34861996854.0;10051447881.0;37472990627.0;3033790198.0;4121323021.0;285340889.0
2022-12-27;38606820083.0;8599157140.0;40993946397.0;3370846986.0;2493086292.0;348097548.0
2022-12-28;37264791667.0;15392874100.0;41213518951.0;3386755835.0;7774301479.0;283089501.0
2022-12-29;36845096188.0;12769659322.0;39986126648.0;3258968093.0;6082559271.0;287101497.0
2022-12-30;36444858104.0;14722146967.0;40056744229.0;3292039051.0;7556442521.0;261779270.0
2022-12-31;31311333104.0;16793160991.0;35117258318.0;3020319059.0;9778937771.0;187978948.0
