jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2023-02-01;48015320521.0;10705481862.0;50450957868.0;4108296539.0;3717072000.0;444475975.0
2023-02-02;47352243938.0;9795127961.0;49723974945.0;4011364117.0;2967415958.0;444616877.0
2023-02-03;45975725792.0;9715149748.0;48353501886.0;3904710528.0;3002832542.0;429830583.0
2023-02-04;42314108646.0;6292927752.0;43239664402.0;3751551301.0;1206504771.0;409315923.0
2023-02-05;39159737208.0;10270242557.0;41630863289.0;3664440283.0;3777745250.0;356930943.0
2023-02-06;46725972229.0;9774109649.0;49329498941.0;4021330103.0;2743553313.0;405699522.0
2023-02-07;49823738979.0;9576068092.0;52048268544.0;4312640774.0;2598946313.0;439951440.0
2023-02-08;52569843833.0;7393425507.0;53657233476.0;4503671504.0;1304820292.0;497544069.0
2023-02-09;54419425563.0;5631830104.0;54409146046.0;4597976617.0;517723875.0;526409127.0
2023-02-10;51699782125.0;6022925652.0;52138759577.0;4374299853.0;711210229.0;498438116.0
2023-02-11;46366744604.0;6389006768.0;47170726139.0;4242298046.0;902777771.0;439949417.0
2023-02-12;42589420813.0;7200211638.0;44090702075.0;3967559956.0;1322318396.0;409052024.0
2023-02-13;47467110583.0;7132911047.0;48991514933.0;4006616294.0;1150265750.0;451624653.0
2023-02-14;46893640375.0;7007217763.0;48461314406.0;3885021810.0;1106979771.0;447542152.0
2023-02-15;45183059854.0;7627903610.0;47206248989.0;3736499029.0;1447555208.0;420660237.0
2023-02-16;43179946875.0;9349228818.0;46040120569.0;3610285266.0;2484977896.0;393791961.0
2023-02-17;39991540521.0;11134440040.0;43187622925.0;3326249985.0;4261803750.0;350303900.0
2023-02-18;35058756333.0;11138546790.0;38055306837.0;3161185027.0;4664040729.0;316770530.0
2023-02-19;34242189083.0;8119790359.0;36440827609.0;3091054344.0;2496529750.0;333567739.0
2023-02-20;40890064958.0;7064772965.0;42949932466.0;3303943772.0;1326014438.0;374947247.0
2023-02-21;42733754333.0;5423994653.0;43765950671.0;3333837657.0;658850313.0;399110345.0
2023-02-22;42698848875.0;5629707040.0;43725475000.0;3334253254.0;868964979.0;399862681.0
2023-02-23;43649657792.0;5978282141.0;44752121912.0;3449653270.0;1037710854.0;388453896.0
2023-02-24;41963670396.0;7498249835.0;44074407202.0;3429122309.0;1585304479.0;373086240.0
2023-02-25;39594394313.0;9120035684.0;42159737710.0;3630570679.0;2570209708.0;353911899.0
2023-02-26;39986293167.0;16696603361.0;44489731965.0;4005498566.0;7879254188.0;308411809.0
2023-02-27;49065785479.0;15088050270.0;52961314885.0;4475459356.0;6336729188.0;380332321.0
2023-02-28;51428752021.0;10996778639.0;54145914605.0;4561796131.0;3279579375.0;438240548.0
