jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2023-01-01;29828091563.0;12114350409.0;32762531134.0;2849005532.0;6117979667.0;212925638.0
2023-01-02;35920074354.0;8814918070.0;38162861482.0;3014321394.0;3252971438.0;304838109.0
2023-01-03;40217249896.0;9906911621.0;43241358170.0;3359589009.0;3185177167.0;338037171.0
2023-01-04;39705319563.0;15815233773.0;43962457295.0;3382964621.0;7887125479.0;288005940.0
2023-01-05;39385146708.0;9458994371.0;42213872341.0;3178027380.0;3105068667.0;347172691.0
2023-01-06;39098197854.0;9464348006.0;41995862592.0;3196427571.0;3031764521.0;338491176.0
2023-01-07;35001205979.0;13840853587.0;38729414693.0;3249173099.0;6604156333.0;259315439.0
2023-01-08;34523158896.0;12867833825.0;37768376537.0;3251220119.0;6104142396.0;267253669.0
2023-01-09;41535955063.0;15256047921.0;45663055433.0;3609102566.0;7199308646.0;320536338.0
2023-01-10;43434228479.0;13261290480.0;47179071427.0;3708361783.0;5453536000.0;354549749.0
2023-01-11;41421909229.0;14281149524.0;45306019825.0;3498016420.0;6572569104.0;326453404.0
2023-01-12;41154331354.0;17060141083.0;45630390707.0;3524347124.0;8761542458.0;298192147.0
2023-01-13;40418241125.0;14777447755.0;44418942187.0;3449257745.0;7007973938.0;319515010.0
2023-01-14;37164508146.0;15184992587.0;40828608776.0;3468570102.0;7777267313.0;275054541.0
2023-01-15;36971489208.0;15394924940.0;40728232235.0;3567162318.0;7781751167.0;289268428.0
2023-01-16;46146015917.0;13904273060.0;49165123029.0;4015505112.0;6494144292.0;375516543.0
2023-01-17;51476669958.0;6203416217.0;51825203994.0;4272787656.0;1108770813.0;473323712.0
2023-01-18;53415186000.0;7086657371.0;54232480775.0;4572214047.0;1208659813.0;488488736.0
2023-01-19;55881489979.0;5499657132.0;55467990256.0;4773307785.0;618603125.0;521245945.0
2023-01-20;54840386938.0;7082582784.0;55463478807.0;4791840074.0;1141936354.0;525714486.0
2023-01-21;50324111354.0;10442364758.0;52142096235.0;4864579469.0;3288217708.0;471582700.0
2023-01-22;52692987271.0;7775628644.0;53097572424.0;5108660829.0;1745275667.0;517106995.0
2023-01-23;57668612875.0;8999806962.0;58586582733.0;5194766180.0;2360970333.0;526100590.0
2023-01-24;56838692333.0;8462333062.0;57844577343.0;5024197138.0;1917166625.0;515084290.0
2023-01-25;59022725063.0;5060549645.0;57954408556.0;5045100830.0;527738771.0;556026550.0
2023-01-26;57027516604.0;7143176793.0;57375857763.0;4963336805.0;1289112875.0;542385954.0
2023-01-27;54125045521.0;9938246710.0;55968382058.0;4843361756.0;2776215104.0;475333313.0
2023-01-28;51466532729.0;7383674214.0;51840087426.0;4830577988.0;1700101083.0;479440445.0
2023-01-29;50402994542.0;5737051546.0;50187155643.0;4724885486.0;720842292.0;507162666.0
2023-01-30;53049925646.0;8654229653.0;54332602383.0;4646696497.0;2229485604.0;495370815.0
2023-01-31;51002038708.0;8015193771.0;52304987622.0;4366755145.0;1851095042.0;494394671.0
