jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2023-03-01;49868385708.0;11642490157.0;53326984278.0;4464404005.0;3282832750.0;436654830.0
2023-03-02;50340567896.0;7782851198.0;51927124473.0;4297055674.0;1438458958.0;460779988.0
2023-03-03;47866985125.0;8218359177.0;49871144606.0;4098223969.0;1661412833.0;454562893.0
2023-03-04;43676607042.0;7844947350.0;45455979725.0;4022023065.0;1630878729.0;412672873.0
2023-03-05;42535816458.0;5985193793.0;43283976933.0;3870770952.0;964906521.0;401355845.0
2023-03-06;47797245229.0;6733928790.0;48847084846.0;3980142209.0;1262679208.0;441267755.0
2023-03-07;46839042688.0;9911554390.0;49036179757.0;3986188011.0;3318763208.0;409466101.0
2023-03-08;43040353979.0;13654485475.0;46486049185.0;3641742091.0;6244964771.0;322083406.0
2023-03-09;38156137271.0;16064978754.0;42867524059.0;3211661631.0;7877683083.0;264247252.0
2023-03-10;39655232271.0;14975386804.0;43697441376.0;3365867917.0;7279065688.0;288244094.0
2023-03-11;38155087354.0;6801112186.0;39702917484.0;3342289087.0;1571842292.0;339150677.0
2023-03-12;31437392625.0;12295666709.0;35375827069.0;2966659252.0;5133226542.0;257346471.0
2023-03-13;33203764833.0;17185456910.0;38468265444.0;2787827806.0;8925666479.0;207462014.0
2023-03-14;36368899875.0;15276140412.0;41088600114.0;3014235441.0;7293539542.0;248665189.0
2023-03-15;39812750000.0;7779538443.0;42411472321.0;3182808640.0;1640416979.0;357590502.0
2023-03-16;36351998000.0;11869894884.0;40882710859.0;3003280739.0;4027282292.0;308618993.0
2023-03-17;34907337917.0;10537461768.0;38735396046.0;2826766226.0;3590953479.0;291683932.0
2023-03-18;31103108854.0;9709245925.0;34497484540.0;2777311112.0;3285115458.0;252443667.0
2023-03-19;30927592792.0;7368430685.0;33478597897.0;2779899795.0;1760757875.0;276767910.0
2023-03-20;36484406229.0;7459833839.0;39315450248.0;2896916677.0;1406383250.0;325489892.0
2023-03-21;35502092146.0;8871610970.0;39069051841.0;2802380636.0;2204358042.0;297912596.0
2023-03-22;34079225083.0;14254179544.0;39033432328.0;2793443005.0;6264273000.0;242256294.0
2023-03-23;32855643958.0;14830219406.0;37691380017.0;2673170501.0;7106541458.0;214771388.0
2023-03-24;32352829146.0;15710904961.0;37203191493.0;2662950385.0;7994414813.0;203177416.0
2023-03-25;29734305375.0;14914396338.0;34239211604.0;2749431785.0;7447868542.0;212189782.0
2023-03-26;29647926087.0;13373054016.0;33668646711.0;2797761187.0;6341905913.0;212666291.0
2023-03-27;37254720354.0;8601255865.0;40142169891.0;2986768447.0;2404175125.0;322862756.0
2023-03-28;38121341771.0;9580759041.0;41928136316.0;3132484119.0;2310675792.0;330804585.0
2023-03-29;34180098833.0;10562548291.0;38344749172.0;2726069001.0;3409889625.0;261939326.0
2023-03-30;31148142125.0;14861136387.0;36305684903.0;2499193859.0;7003361750.0;201038000.0
2023-03-31;31360816938.0;18168833341.0;36766533285.0;2608145103.0;9978134646.0;176837244.0
