jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2022-11-01;24399101750.0;12911717340.0;27930388520.0;2084838330.0;7152600292.0;142991948.0
2022-11-02;29431053688.0;9337307050.0;32767036033.0;2194687048.0;3582150063.0;224487593.0
2022-11-03;31621871792.0;10828650359.0;34782401509.0;2343327221.0;5108819458.0;215973961.0
2022-11-04;32993804146.0;8987374565.0;35821108302.0;2495025215.0;3416780208.0;248264985.0
2022-11-05;31061223354.0;7126234489.0;33294306951.0;2634979298.0;1978353271.0;279818322.0
2022-11-06;29250439708.0;10956495643.0;32387354184.0;2654265681.0;4941757917.0;223557570.0
2022-11-07;32599666750.0;12636264282.0;36652918341.0;2581524987.0;5771056792.0;230430912.0
2022-11-08;33202146667.0;13213807847.0;37066528501.0;2551957678.0;6573578896.0;223889438.0
2022-11-09;34135067917.0;8482494652.0;36795751551.0;2531512694.0;3017680354.0;272617969.0
2022-11-10;35260729813.0;6496140110.0;37462426291.0;2630738927.0;1355407208.0;308297495.0
2022-11-11;31196784875.0;6395439876.0;33149638673.0;2594404242.0;1559044500.0;289137336.0
2022-11-12;30677066229.0;6116994646.0;32552792154.0;2606526965.0;1349757833.0;284983921.0
2022-11-13;30535593583.0;4987465543.0;31765547981.0;2603893149.0;851071021.0;302546975.0
2022-11-14;36438676979.0;6368120546.0;38088528282.0;2754255676.0;1641601188.0;322412378.0
2022-11-15;35694756958.0;10055888282.0;38819164115.0;2751401038.0;3904672792.0;275407296.0
2022-11-16;35114108354.0;12313316539.0;38925168296.0;2763160179.0;5497464563.0;241631856.0
2022-11-17;34922336271.0;13411369767.0;38716007780.0;2737492873.0;6642680854.0;237524529.0
2022-11-18;36901570604.0;8111468455.0;39417904401.0;2876321975.0;2409420271.0;309392411.0
2022-11-19;36055209708.0;5728940337.0;37283668696.0;3064159129.0;1085449854.0;350872366.0
2022-11-20;34322616271.0;9555912834.0;36796529028.0;3120702931.0;3655478938.0;305818208.0
2022-11-21;40886968125.0;10371677691.0;43474514625.0;3335238784.0;4117275021.0;331617386.0
2022-11-22;41087684563.0;13281244926.0;44652495903.0;3395246838.0;6000880042.0;320306706.0
2022-11-23;40706216771.0;12050459489.0;44060758899.0;3329185641.0;5043855938.0;322875782.0
2022-11-24;40081680792.0;11119586473.0;43340877455.0;3246909818.0;4299175479.0;314304512.0
2022-11-25;40334471438.0;7166857546.0;42241998684.0;3189734154.0;1709970438.0;359625708.0
2022-11-26;38242083583.0;6639542478.0;39788436274.0;3339367762.0;1385702896.0;368119129.0
2022-11-27;36499138167.0;8767203666.0;38583245338.0;3314124157.0;3049186188.0;319786150.0
2022-11-28;42199239146.0;6058892597.0;43382926242.0;3332203442.0;1163495750.0;379506308.0
2022-11-29;45295918813.0;4814704990.0;45617292599.0;3514871841.0;553996563.0;424462800.0
2022-11-30;45985103625.0;5882157217.0;46920421935.0;3671142389.0;852944625.0;422751893.0
