jour;injection_rte;production_totale;consommation_totale;pertes;soutirage_rte;soutirage_vers_autres_grd
2022-10-01;27265348792.0;11536151122.0;30098354531.0;2063923387.0;6470158354.0;169063641.0
2022-10-02;26001185771.0;6874027853.0;27740816667.0;1946597220.0;2980860188.0;206939549.0
2022-10-03;31984904750.0;4074110282.0;32940853553.0;2017327526.0;819866021.0;280967931.0
2022-10-04;32307999042.0;4685093165.0;33765722652.0;2025427721.0;921695667.0;280246167.0
2022-10-05;30197853854.0;9258691505.0;33380685958.0;1982495389.0;3871666938.0;221697074.0
2022-10-06;31942340438.0;4313706602.0;33163453803.0;1969129791.0;854719042.0;268744402.0
2022-10-07;31583930313.0;4411017116.0;32903671723.0;1990686768.0;825889667.0;274699271.0
2022-10-08;27925003500.0;4026731274.0;28894315413.0;1959252472.0;862689167.0;235477722.0
2022-10-09;25942097854.0;6132900200.0;27793331045.0;1959061952.0;2095548021.0;227057035.0
2022-10-10;31376035458.0;4901408177.0;32749514599.0;1999437187.0;1270251229.0;258240620.0
2022-10-11;32425275354.0;4286333837.0;33519200674.0;2008346528.0;907695667.0;276366324.0
2022-10-12;33303935979.0;3366694504.0;33861766597.0;2043350826.0;471234208.0;294278852.0
2022-10-13;32925399375.0;4400269573.0;34006631620.0;2053432106.0;991260646.0;274344576.0
2022-10-14;32026491896.0;6139518450.0;33384392544.0;2032959498.0;2502370313.0;246287991.0
2022-10-15;26668676771.0;8498651531.0;28921335340.0;1955455387.0;4091185563.0;199352011.0
2022-10-16;25523277396.0;6042162545.0;27165314141.0;1896605242.0;2282041229.0;221479329.0
2022-10-17;30728534438.0;6310703384.0;32223809985.0;1941668962.0;2633201125.0;240557750.0
2022-10-18;31259063333.0;4839388103.0;32665490695.0;1925664785.0;1246285979.0;261009977.0
2022-10-19;30158077438.0;7931818293.0;32705487481.0;1927034853.0;3220234083.0;237139313.0
2022-10-20;30672967833.0;6986775795.0;32675585146.0;1925117136.0;2817212417.0;241828929.0
2022-10-21;29587491313.0;8128540627.0;32171116896.0;1923623089.0;3399070313.0;222221642.0
2022-10-22;26028727604.0;6308717795.0;28041081015.0;1879749385.0;2215878063.0;200736936.0
2022-10-23;24146052542.0;10336523829.0;26576091204.0;1845452773.0;5901374625.0;159657768.0
2022-10-24;28534838875.0;11527132276.0;31701497831.0;1912188070.0;6272849479.0;175435771.0
2022-10-25;30739698521.0;5940399361.0;32640858284.0;1941064300.0;1846187688.0;251987610.0
2022-10-26;29860394375.0;7210774027.0;32372547174.0;1912516889.0;2555351438.0;230752901.0
2022-10-27;29854720688.0;8012629939.0;32366889970.0;1909159623.0;3383278417.0;208022617.0
2022-10-28;29344270771.0;7126946363.0;31604489628.0;1884894533.0;2771207771.0;210625202.0
2022-10-29;25443343063.0;7001532425.0;27528274336.0;1843121103.0;2874507583.0;198972464.0
2022-10-30;24784264640.0;4857057191.0;26014008590.0;1823000090.0;1592357560.0;211955591.0
2022-10-31;27268595021.0;7877880648.0;29490464950.0;1892919882.0;3560285750.0;202805086.0
