Jour;Mois;Puissance moyenne journalière de l'injection RTE (W);Puissance moyenne journalière du refoulement RTE (W);Puissance moyenne journalière du soutirage net vers autres GRD (W);Puissance moyenne journalière des pertes modélisées (W);Puissance moyenne journalière de la consommation totale (W);Puissance moyenne journalière de la consommation totale HTA (W);Puissance moyenne journalière de la consommation télérelevée HTA (W);Puissance moyenne journalière de la consommation télérelevée BT SUP 36 (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Professionelle (W);Puissance moyenne journalière de la consommation télérelevée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la consommation profilée HTA (W);Puissance moyenne journalière de la consommation profilée BT SUP 36 (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Professionnelle (W);Puissance moyenne journalière de la consommation profilée BT INF 36 Résidentielle (W);Puissance moyenne journalière de la production totale (W);Puissance moyenne journalière de la production télérelevée totale (W);Puissance moyenne journalière de la production profilée totale (W);Puissance moyenne journalière de la production photovoltaïque totale (W);Puissance moyenne journalière de la production éolienne totale (W);Puissance moyenne journalière de la production cogénération totale (W);Puissance moyenne journalière de la production autres totale (W);Puissance moyenne journalière de la production photovoltaïque profilée (W);Puissance moyenne journalière de la production cogénération profilée (W);Puissance moyenne journalière de la production hydraulique profilée (W);Puissance moyenne journalière de la production autres profilée (W);Température moyenne journalière réalisée lissée (°C);Température moyenne journalière normale lissée (°C);Pseudo rayonnement
2019-12-19;12;41682352708.0;5546016583.0;346927238.0;3694576762.0;45146108399.0;13844014713.0;12371169438.0;38726715;144495;32019640;1472845275.0;5943348718.0;5623623618.0;19664230502.0;13051276274.0;12893759742.0;157516532.0;285267533.0;9524656514.0;1684556148.0;1556796079.0;136601746.0;842030.0;16055227.0;4017530.0;11.1;5.2;26
2019-12-21;12;38573089292.0;4544429563.0;337069504.0;3575868852.0;41803332750.0;9780195750.0;8825268285.0;32627454;104920;36310692;954927465.0;4909414387.0;5216699069.0;21827980478.0;11687611376.0;11469537513.0;218073864.0;497809805.0;7948500854.0;1668887724.0;1572412994.0;197023730.0;849648.0;16055109.0;4145377.0;10.2;5.1;41
2020-01-02;1;48637885688.0;1192454125.0;497905671.0;3767553207.0;50023259222.0;11821769552.0;10175160400.0;41290866;149446;44644564;1646609152.0;6694037459.0;5952114334.0;25469253003.0;6843286538.0;6634550515.0;208736023.0;431929859.0;3080526493.0;1792889378.0;1537940808.0;189471960.0;857178.0;15272630.0;3134255.0;5.3;4.8;44
2020-01-08;1;47246041000.0;1494138729.0;452003327.0;3697885659.0;49130286073.0;14485211820.0;12855113143.0;45224301;157601;40646702;1630098677.0;6344046193.0;5896637994.0;22318361461.0;7528272789.0;7304096329.0;224176460.0;548849049.0;3758184146.0;1795745006.0;1425494588.0;205801199.0;832017.0;15439966.0;2103278.0;7.9;4.8;49
2020-01-09;1;44588314438.0;4660508250.0;399663613.0;3903098672.0;47943884981.0;14311431782.0;12739623381.0;45149021;157504;38264302;1571808401.0;6335342355.0;5831648273.0;21381891745.0;12318841079.0;12083976390.0;234864689.0;598536011.0;8511968649.0;1784399416.0;1423937003.0;216474744.0;841278.0;15435586.0;2113082.0;8.8;4.8;42
2020-01-10;1;47112005792.0;2265562583.0;452724922.0;3744645342.0;48809506915.0;14022929092.0;12488419870.0;44706324;181522;40175752;1534509222.0;6234417173.0;6025228366.0;22441868685.0;8160433970.0;7958400046.0;202033924.0;412462851.0;4490248000.0;1813919987.0;1443803132.0;184832890.0;841276.0;15432366.0;927391.0;8.3;4.8;34
2020-01-15;1;46364019021.0;4869089542.0;424407453.0;4051315896.0;49136559899.0;14588015534.0;12976419321.0;45759859;171805;42061706;1611596213.0;6280558258.0;5804193360.0;22375799376.0;12117353770.0;11901184492.0;216169278.0;441590996.0;8548510847.0;1793500862.0;1333751065.0;199231528.0;842439.0;15167648.0;927663.0;8.7;5.0;45
2020-01-27;1;48780810333.0;4450349729.0;433192440.0;4250882927.0;51275447955.0;14299797354.0;12626063713.0;46978096;216989;46472296;1673733641.0;6732393693.0;5986482117.0;24163107410.0;11629062719.0;11474942972.0;154119747.0;294844383.0;8254194836.0;1765504041.0;1314519459.0;135803138.0;870544.0;15579488.0;1866577.0;6.7;5.5;21
2020-02-17;2;41902961458.0;4578210917.0;364790585.0;3631649358.0;45260419750.0;13672837933.0;12154177356.0;44658231;178093;39948078;1518660577.0;5890519370.0;5232159189.0;20380118855.0;11932109151.0;11592004127.0;340105024.0;536621129.0;8231983611.0;1756126571.0;1407377840.0;321843221.0;844668.0;15552094.0;1865041.0;10.1;6.7;36
2020-03-03;3;49908311271.0;1190572542.0;469042374.0;3873716963.0;51127292418.0;14601770002.0;13055715869.0;50203226;225832;51622529;1546054133.0;6384934141.0;6097063186.0;23941473503.0;6752313026.0;6396489250.0;355823776.0;686337932.0;2996083375.0;1644364077.0;1425527642.0;337814898.0;884765.0;16052542.0;1071572.0;7.1;7.6;45
